package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
cosmiconfig,0.5165908535255499,1,0,0.0,0.0,3498872,346082762,740,0.5,0.05,0.0,0.0,0.9679200966419883,0.8140425503845599,0.9216025737441053,1.0,dependency,63
ieee754,0.5158699674658368,2,0,0.0,0.5,1081327,247567922,866,1.0,0.1,0.0,0.0,0.8924897274555023,0.7792012478957959,0.9435043496535348,0.5,dependency,199
bytes,0.5157916950938869,2,0,0.0,0.0,1080038,260646691,876,0.5,0.1,0.0,0.0,0.8924131078798536,0.7845555677554885,0.9451037672813927,1.0,dependency,200
dottie,0.5156216380034626,1,0,0.0,0.0,161543,9155801,906,1.0,0.05,0.0,0.0,0.7703644092367308,0.43626231713956976,0.9497948268291629,1.0,dependency,299
sorted-array-functions,0.5155123308105058,1,0,0.0,0.0,28319,11044648,1257,1.0,0.05,0.0,0.0,0.6585143372557479,0.4557695171945227,0.9954197268273937,1.0,dependency,402
telecom-mas-agent,0.5153250094114868,1,83,0.0,0.0037639265281541705,0,599022368,83,1.0,0.05,1.0,0.0,0.0,0.8711024651959017,0.6179557777235603,0.9962360734718458,seed,548
buffer-more-ints,0.5153218267549735,1,0,0.0,0.0,47191,7679485,1271,1.0,0.05,0.0,0.0,0.6913173576130688,0.4179743929288575,0.9969632585039043,1.0,dependency,388
ansi-regex,0.5149205324834786,1,0,0.0,0.0,1239008,1267848471,87,1.0,0.05,0.0,0.0,0.9012337941149214,0.9490838971605201,0.6244438167796723,1.0,seed,177
png-js,0.5142042637464647,1,0,0.0,0.0,29287,9478550,1260,1.0,0.05,0.0,0.0,0.6606733177981942,0.43986547019787153,0.9957519247342905,1.0,dependency,401
@types/estree,0.5130440514677395,1,0,0.0,0.0,1849638,322433246,124,1.0,0.05,0.0,0.0,0.9269721891229792,0.8066808116103058,0.6733937569720551,1.0,dependency,136
linebreak,0.5129079922360944,1,0,0.0,0.0,21850,9921523,1265,1.0,0.05,0.0,0.0,0.6418562951268691,0.44461595607459353,0.9963038355797403,1.0,dependency,411
base64-js,0.5127337643457007,1,0,0.0,0.0,1564057,257739509,866,0.5,0.05,0.0,0.0,0.9161992089518466,0.7833889944573496,0.9435043496535348,1.0,dependency,156
strip-ansi,0.5126550267583385,3,1,3.590641250056104e-05,0.25,2069298,1390744803,87,1.0,0.15,0.012048192771084338,0.03636363636363637,0.9341808285837565,0.9587063399419273,0.6244438167796723,0.75,seed,120
