package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@types/serve-index,1,1,0.000000,False,968215,44476379,0
@types/serve-static,2,2,0.000000,True,1504467,139851849,1795
@types/sockjs,1,1,0.000000,False,967144,44414023,0
@types/stack-utils,1,0,0.000000,True,1905659,151236268,1332
@types/tough-cookie,1,0,0.000000,False,111207,92408921,0
@types/trusted-types,1,0,0.000000,False,741693,51222287,0
@types/ws,1,1,0.000000,False,1097014,125505043,0
@types/yargs,1,1,0.000033,True,2009672,305048458,1187
@types/yargs-parser,1,0,0.000000,True,1836231,158084062,1367
@typescript-eslint/eslint-plugin,1,9,0.000000,True,1823066,153836780,1371
@typescript-eslint/experimental-utils,0,1,0.000000,True,1566706,47953862,1755
@typescript-eslint/parser,1,5,0.000000,True,1907734,167009127,1330
@typescript-eslint/project-service,1,3,0.000000,False,0,123111952,0
@typescript-eslint/scope-manager,4,2,0.000000,True,1714452,225717826,1545
@typescript-eslint/tsconfig-utils,2,0,0.000000,False,0,123739271,0
@typescript-eslint/type-utils,1,5,0.000000,False,941724,139419676,0
@typescript-eslint/types,7,0,0.000000,True,1779331,244529630,1511
@typescript-eslint/typescript-estree,3,10,0.000000,True,1892157,249382358,1343
@typescript-eslint/utils,5,4,0.000000,False,944853,188166951,0
@typescript-eslint/visitor-keys,4,2,0.000000,True,1779288,240784576,1512
@ungap/structured-clone,1,0,0.000000,False,2802,139486708,0
@webassemblyjs/ast,7,2,0.000000,True,1625157,128473423,1710
@webassemblyjs/floating-point-hex-parser,1,0,0.000000,True,1625137,124133247,1711
@webassemblyjs/helper-api-error,2,0,0.000000,True,1619368,125837308,1724
@webassemblyjs/helper-buffer,3,0,0.000000,True,1625093,125182557,1717
@webassemblyjs/helper-numbers,1,3,0.000000,False,1255428,103316746,0
@webassemblyjs/helper-wasm-bytecode,5,0,0.000000,True,1625136,117877581,1712
@webassemblyjs/helper-wasm-section,1,4,0.000000,True,1625091,121016106,1719
@webassemblyjs/ieee754,2,1,0.000000,True,1619342,120188446,1725
@webassemblyjs/leb128,2,1,0.000000,True,1625112,121642149,1715
