Id,Label,package,in_degree,out_degree,betweenness,risk_score,is_topN,dependents_count,downloads,rank,is_seed
184,@babel/plugin-transform-unicode-sets-regex,@babel/plugin-transform-unicode-sets-regex,1,2,0.000000,0.008442,False,0,0,0,False
185,@babel/preset-env,@babel/preset-env,0,70,0.000000,0.168675,True,3369235,119911106,1765,True
186,@babel/preset-modules,@babel/preset-modules,1,5,0.000000,0.015671,False,0,0,0,False
187,@babel/runtime,@babel/runtime,3,0,0.000000,0.010870,True,4021755,307021123,380,True
188,@babel/template,@babel/template,5,3,0.000000,0.025345,True,4582774,301776678,387,True
189,@babel/traverse,@babel/traverse,17,7,0.000000,0.078462,True,4583249,330432404,348,True
190,@babel/types,@babel/types,18,2,0.000064,0.077745,True,4673471,447665707,177,True
191,@bcoe/v8-coverage,@bcoe/v8-coverage,1,0,0.000000,0.003623,True,1666305,142620957,1371,True
192,@borewit/text-codec,@borewit/text-codec,1,0,0.000000,0.003623,False,0,0,0,False
193,@cacheable/memory,@cacheable/memory,1,4,0.000000,0.013262,False,0,0,0,False
194,@cacheable/utils,@cacheable/utils,2,2,0.000000,0.012066,False,0,0,0,False
195,@colors/colors,@colors/colors,2,0,0.000000,0.007246,True,255801,136344002,1521,True
196,@cspotcode/source-map-support,@cspotcode/source-map-support,1,1,0.000000,0.006033,True,228291,116591637,1799,True
197,@csstools/color-helpers,@csstools/color-helpers,1,0,0.000000,0.003623,False,0,0,0,False
198,@csstools/css-calc,@csstools/css-calc,2,0,0.000000,0.007246,False,0,0,0,False
199,@csstools/css-color-parser,@csstools/css-color-parser,1,2,0.000032,0.012297,False,0,0,0,False
200,@csstools/css-parser-algorithms,@csstools/css-parser-algorithms,1,0,0.000000,0.003623,False,0,0,0,False
201,@csstools/css-syntax-patches-for-csstree,@csstools/css-syntax-patches-for-csstree,1,0,0.000000,0.003623,False,0,0,0,False
202,@csstools/css-tokenizer,@csstools/css-tokenizer,1,0,0.000000,0.003623,False,0,0,0,False
203,@cypress/request,@cypress/request,1,18,0.000000,0.046997,False,0,0,0,False
204,@cypress/xvfb,@cypress/xvfb,1,2,0.000000,0.008442,False,0,0,0,False
205,@dabh/diagnostics,@dabh/diagnostics,1,3,0.000000,0.010852,False,0,0,0,False
206,@dataform/core,@dataform/core,0,0,0.000000,0.000000,True,60,369893145,317,True
207,@emnapi/runtime,@emnapi/runtime,0,1,0.000000,0.002410,True,1,112019691,1948,True
208,@esbuild/linux-x64,@esbuild/linux-x64,0,0,0.000000,0.000000,True,308244,264442303,562,True
209,@eslint-community/eslint-utils,@eslint-community/eslint-utils,2,1,0.000000,0.009656,True,902580,229056958,736,True
210,@eslint-community/regexpp,@eslint-community/regexpp,2,0,0.000000,0.007246,True,491487,212260944,773,True
211,@eslint/config-array,@eslint/config-array,1,3,0.000000,0.010852,False,0,0,0,False
212,@eslint/config-helpers,@eslint/config-helpers,1,1,0.000000,0.006033,False,0,0,0,False
213,@eslint/core,@eslint/core,3,1,0.000000,0.013279,True,0,141279397,1382,True
214,@eslint/eslintrc,@eslint/eslintrc,1,9,0.000000,0.025310,True,1908494,252437763,582,True
215,@eslint/js,@eslint/js,1,0,0.000000,0.003623,True,906483,246114685,595,True
216,@eslint/object-schema,@eslint/object-schema,1,0,0.000000,0.003623,False,0,0,0,False
217,@eslint/plugin-kit,@eslint/plugin-kit,1,2,0.000000,0.008442,True,0,126150835,1700,True
218,@fastify/busboy,@fastify/busboy,1,0,0.000000,0.003623,False,0,0,0,False
219,@firebase/app-check-interop-types,@firebase/app-check-interop-types,1,0,0.000000,0.003623,False,0,0,0,False
220,@firebase/app-types,@firebase/app-types,1,0,0.000000,0.003623,False,0,0,0,False
221,@firebase/auth-interop-types,@firebase/auth-interop-types,1,0,0.000000,0.003623,False,0,0,0,False
222,@firebase/component,@firebase/component,2,2,0.000000,0.012066,False,0,0,0,False
223,@firebase/database,@firebase/database,1,7,0.000000,0.020491,False,0,0,0,False
224,@firebase/database-compat,@firebase/database-compat,1,6,0.000000,0.018081,False,0,0,0,False
